timestamp,exercise_type,shoulder_height_diff,hip_height_diff,knee_height_diff,ankle_height_diff,elbow_height_diff,wrist_height_diff,ear_height_diff,squat_angle,plank_angle,left_shoulder_x,left_shoulder_y,right_shoulder_y,right_shoulder_x,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_y,right_knee_x,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,""
1761241908078,SQUAT,28.364563,7.3941345,12.3706665,7.7296753,48.377472,20.702362,9.500671,NaN,NaN,319.76495,221.83347,193.4689,234.59848,284.73444,344.12357,232.36328,336.72943,273.34705,446.88336,434.5127,195.27892,264.73016,549.88885,197.21552,542.1592,322.37698,298.78394,198.45058,250.40646,302.429,285.76175,237.76685,265.0594,310.45392,158.33421,275.9105,148.83354,
1761241908146,SQUAT,25.63324,6.942383,15.405457,7.6779785,43.512177,14.9635315,9.868057,NaN,NaN,322.76736,221.93588,196.30264,235.76974,285.54474,344.82526,231.69975,337.88287,273.85342,449.74854,434.34308,195.68015,266.40808,552.9422,196.5751,545.2642,325.43152,299.5913,195.03833,256.07913,306.3808,279.5769,235.93605,264.61337,312.22455,157.8119,275.5527,147.94385,
1761241908219,SQUAT,26.59645,9.166687,15.341858,5.2836914,43.164154,17.323364,9.494263,NaN,NaN,321.48126,221.82181,195.22536,236.65997,285.42712,345.5676,233.06087,336.4009,273.3864,449.92865,434.5868,196.80597,264.58087,551.9457,197.17859,546.662,324.38452,297.54416,197.41974,254.38,305.839,280.08026,235.65152,262.7569,311.48816,157.01875,275.85776,147.52449,
1761241908301,SQUAT,30.358902,7.9526367,10.205261,5.192322,47.218735,25.866547,9.645889,NaN,NaN,320.3614,224.22562,193.86671,237.37291,285.7419,341.28125,234.53397,333.3286,272.81125,444.4433,434.23804,198.05898,264.08795,550.4033,197.596,545.211,323.4098,299.23236,197.80247,252.01363,305.94073,285.91656,233.07086,260.05002,311.12067,159.37193,277.38156,149.72604,
1761241908389,SQUAT,30.727264,7.253235,12.885529,6.2730103,54.608093,25.528748,11.226959,NaN,NaN,318.88095,225.54593,194.81866,237.65471,285.3665,342.11615,234.23569,334.8629,271.75137,449.7957,436.91016,198.70088,263.07358,550.75995,196.67155,544.48694,321.57758,300.5,198.95248,245.8919,305.45035,284.526,229.65723,258.99725,312.1845,160.85298,278.47437,149.62602,
1761241908458,SQUAT,32.092545,8.495972,12.1961975,4.7599487,55.828033,27.318268,10.981949,NaN,NaN,319.6241,224.9598,192.86725,239.29982,285.53998,339.89514,234.19049,331.39917,271.40698,448.14545,435.94925,199.24655,263.0083,550.6934,195.37248,545.9335,320.9325,298.26245,203.72401,242.43442,303.8546,285.1977,229.28601,257.87943,313.57947,161.67972,280.16132,150.69777,
1761241908544,SQUAT,34.546234,10.966034,13.883759,5.5394287,55.51758,60.11209,10.912415,NaN,NaN,320.296,226.2113,191.66507,240.51247,284.23456,344.01126,233.94092,333.04523,272.34436,451.05566,437.1719,196.64516,263.93848,551.62134,197.05908,546.0819,323.64755,300.70956,200.69228,245.19199,311.99936,317.81744,236.09882,257.70535,314.5678,161.13931,281.372,150.2269,
1761241908618,SQUAT,37.345184,11.277832,12.503937,6.8641357,59.751083,32.89633,11.489304,NaN,NaN,320.99533,227.6781,190.33292,240.4321,283.60913,343.8654,231.8277,332.58755,272.2416,446.31836,433.81442,197.8503,263.41782,552.84125,196.62349,545.9771,319.05005,304.81805,200.82672,245.06697,304.39612,289.5187,237.26271,256.62238,315.44138,161.89899,281.58618,150.40968,
1761241908701,SQUAT,38.912003,11.049866,11.747711,8.138428,58.73419,36.122482,10.844971,NaN,NaN,320.53952,226.77402,187.86201,242.76411,281.6061,343.39557,231.30579,332.3457,271.95898,446.40488,434.65717,195.52765,263.69385,553.88684,196.37408,545.7484,319.35092,299.18262,201.90053,240.44843,305.50867,288.02112,240.54991,251.89864,315.94678,161.78108,283.83154,150.93611,
1761241908774,SQUAT,40.221237,11.854126,11.851196,7.135132,52.948364,36.93445,12.043732,NaN,NaN,321.01996,227.35367,187.13243,243.13882,280.37476,343.51596,228.3826,331.66183,271.07452,447.04077,435.18958,193.29097,264.49652,551.6364,195.32034,544.5013,320.06683,297.177,206.59117,244.22864,306.26456,286.91718,250.55774,249.98273,317.13425,161.72865,284.64218,149.68492,
1761241908860,SQUAT,41.921265,10.778046,8.909912,6.883972,55.427002,7.2506714,13.238388,NaN,NaN,321.89154,227.67535,185.75409,242.85541,279.43362,343.60904,226.39723,332.831,271.40317,447.7931,438.88318,192.67337,263.5437,552.8926,197.63228,546.0086,325.13422,299.1056,201.63216,243.67859,303.75543,253.05865,255.66219,245.80798,317.9108,163.72176,285.57614,150.48337,
